Time,CC,LOC,LLOC,SLOC,Comments,Comment Blocks,Blank,Single Comments,H1,H2,N1,N2,Vocabulary,Length,Calculated Length,Volume,Difficulty,Effort,Time,Bugs,MI
Base,1,594,218,415,41,61,78,40,13,85,68,121,98,189,592.9,1250.18,9.25,11567.84,642.66,0.42,45.34
Iter. 1,1,726,234,404,37,156,129,37,13,86,68,121,99,189,600.76,1252.95,9.15,11458.65,636.59,0.42,48.86
Iter. 2,1,746,231,396,48,156,146,48,13,89,68,122,102,190,624.45,1267.76,8.91,11295.89,627.55,0.42,48.72
