Time,CC,LOC,LLOC,SLOC,Comments,Comment Blocks,Blank,Single Comments,H1,H2,N1,N2,Vocabulary,Length,Calculated Length,Volume,Difficulty,Effort,Time,Bugs,MI
Base,8,748,282,385,42,202,125,36,20,143,106,179,163,285,1110.3,2094.39,12.52,26216.46,1456.47,0.7,42.09
Iter. 1,5,866,296,385,54,261,171,49,20,144,106,180,164,286,1118.91,2104.26,12.5,26303.25,1461.29,0.7,40.64
Iter. 2,5,913,312,395,65,267,191,60,20,146,107,182,166,289,1136.15,2131.39,12.47,26569.34,1476.07,0.71,39.87
