Time,CC,LOC,LLOC,SLOC,Comments,Comment Blocks,Blank,Single Comments,H1,H2,N1,N2,Vocabulary,Length,Calculated Length,Volume,Difficulty,Effort,Time,Bugs,MI
Base,1,175,105,104,40,0,35,36,10,59,37,74,69,111,380.3,678.05,6.27,4252.15,236.23,0.23,60.78
Iter. 1,1,236,123,115,14,58,49,14,10,35,20,39,45,59,212.74,324.02,5.57,1805.25,100.29,0.11,62.77
Iter. 2,1,236,123,115,14,58,49,14,10,35,20,39,45,59,212.74,324.02,5.57,1805.25,100.29,0.11,62.77
