Time,CC,LOC,LLOC,SLOC,Comments,Comment Blocks,Blank,Single Comments,H1,H2,N1,N2,Vocabulary,Length,Calculated Length,Volume,Difficulty,Effort,Time,Bugs,MI
Base,1,594,218,415,41,61,78,40,13,85,68,121,98,189,592.9,1250.18,9.25,11567.84,642.66,0.42,45.34
Iter. 1,1,1013,276,429,64,355,171,58,13,93,62,110,106,172,656.25,1157.2,7.69,8896.77,494.27,0.39,44.96
