Time,CC,LOC,LLOC,SLOC,Comments,Comment Blocks,Blank,Single Comments,H1,H2,N1,N2,Vocabulary,Length,Calculated Length,Volume,Difficulty,Effort,Time,Bugs,MI
Base,8,748,282,385,42,202,125,36,20,143,106,179,163,285,1110.3,2094.39,12.52,26216.46,1456.47,0.7,42.09
Iter. 1,4,1170,403,423,94,404,238,105,19,147,101,170,166,271,1139.06,1998.64,10.99,21957.8,1219.88,0.67,32.89
,,,,,
