Time,CC,LOC,LLOC,SLOC,Comments,Comment Blocks,Blank,Single Comments,H1,H2,N1,N2,Vocabulary,Length,Calculated Length,Volume,Difficulty,Effort,Time,Bugs,MI
Base,1,328,127,122,11,129,66,11,10,33,19,38,43,57,199.68,309.3,5.76,1780.8,98.93,0.1,56.6
Iter. 1,1,355,122,116,12,154,74,11,11,34,20,39,45,59,211.03,324.02,6.31,2044.18,113.57,0.11,51.54
Iter. 2,1,355,122,116,12,154,74,11,11,34,20,39,45,59,211.03,324.02,6.31,2044.18,113.57,0.11,51.54
Iter. 3,1,355,122,116,12,154,74,11,11,34,20,39,45,59,211.03,324.02,6.31,2044.18,113.57,0.11,51.54
