Time,CC,LOC,LLOC,SLOC,Comments,Comment Blocks,Blank,Single Comments,H1,H2,N1,N2,Vocabulary,Length,Calculated Length,Volume,Difficulty,Effort,Time,Bugs,MI
Base,5,861,296,385,52,261,168,47,20,145,107,181,165,288,1127.53,2121.5,12.48,26482.18,1471.23,0.71,40.53
Iter. 1,5,989,336,451,45,300,189,49,20,151,107,181,171,288,1179.44,2136.34,11.99,25607.8,1422.66,0.71,40.01
Iter. 2,5,989,336,451,45,300,189,49,20,151,107,181,171,288,1179.44,2136.34,11.99,25607.8,1422.66,0.71,40.01
Iter. 3,5,989,336,451,45,300,189,49,20,151,107,181,171,288,1179.44,2136.34,11.99,25607.8,1422.66,0.71,40.01
